WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,STATUS_CHANGE_DATE,ASSIGNED_TO,ASSIGNED_DATE,DRILL_DATE,DRILL_DEPTH,DRILL_DEPTH_UNITS,CONST_DATE,DRILL_COMMENT,DRILL_SOURCE,DRILL_SOURCE_DATE,REMEDIATED_FLAG,DECOMMISSION_COMMENT,DECOMMISSION_DATE,DECOMMISSION_SOURCE,DECOMMISSION_SOURCE_DATE,CONST_DEPTH,CONST_DEPTH_UNITS,CONST_SOURCE,CONST_SOURCE_DATE,DEPTH_TO_BOTTOM,DEPTH_TO_BOTTOM_UNITS,DEPTH_TO_WATER,DEPTH_TO_WATER_UNITS,DRY_WELL,WELL_NAME_SYNONYMS,ECOLOGY_NAME,WELL_PROJECTS,WELL_PROJECT_PURPOSES,WS_SIZE_DEPTH_TOP_BOTTOM_UNITS,WC_SIZE_DEPTH_TOP_BOTTOM_UNITS,WP_CUTS_DEPTH_TOP_BOTTOM_UNITS,DOCUMENTED_PROGRAMS,WASTE_MANAGEMENT_PLANS,WASTE_DISPOSAL_LOCATIONS,WASTE_STORAGE_LOCATIONS,WMP_RELATED_OPERABLE_UNITS,SITE_OU_COMMENT,WASTE_SITES_0M,OU_0M,WASTE_SITES_50F,OU_50F,WASTE_SITES_100F,OU_100F,WASTE_SITES_50M,OU_50M,WASTE_SITES_100M,OU_100M,DATE_LAST_INSPECTED,INSPECTION_TYPE,DATE_LAST_SAMPLED_GW,DATE_LAST_SAMPLED_MM,DATE_LAST_SAMPLED_SO,DATE_LAST_SAMPLED_SG,DATE_LAST_SAMPLED,DATE_LAST_ROUTINE_MAINTENANCE,DATE_LAST_MAINTENANCE,DATE_LAST_WLM,TANK_FARMS,PUBLIC_LAND_SURVEY_SYSTEM,CLOSURE_ZONE,GW_AREA_OF_INTEREST,MONUMENT_LOC,ESTIMATED_QTR_QTR_SEC,HORIZ_SURVEY_POINT_DESC,HORIZ_SURVEY_DATE,NORTHING,EASTING,DISC_X,DISC_Y,HORIZ_SURVEY_UNITS,HORIZ_DATUM,HORIZ_REVIEW_QUALIFIER,ELEV_SURVEY_POINT_DESC,ELEV_SURVEY_DATE,ELEVATION,DISC_Z,ELEV_SURVEY_UNITS,ELEV_DATUM,ELEV_REVIEW_QUALIFIER,DISTRICT_ID,SORT_NAME
C5383,C5383,BORING,,DECOMMISSIONED-V,2/16/2007,"SYDNOR, HA",9/6/2006,10/12/2006,80,ft,,,,,,,10/25/2006,,,,,,,,,,,,,,,,,,,,,,,,,200-W-93,WMA T,"200-W-93, 241-T-101, 241-T-104",WMA T,"200-W-93, 241-T-101, 241-T-104, 241-T-302, 241-TR-152",WMA T,"200-W-93, 241-T-101, 241-T-102, 241-T-104, 241-T-105, 241-T-107, 241-T-302, 241-TR-152",WMA T,"200-W-163-PL-C, 200-W-163-PL-D, 200-W-164-PL-A, 200-W-164-PL-B, 200-W-53, 200-W-93, 207-T, 241-T-101, 241-T-102, 241-T-103, 241-T-104, 241-T-105, 241-T-106, 241-T-107, 241-T-108, 241-T-109, 241-T-110, 241-T-111, 241-T-112, 241-T-153, 241-T-302, 241-TR-152, 241-TR-153, UPR-200-W-147, UPR-200-W-148",200-IS-1,,,,,,,,10/12/2006,10/12/2006,,241T,"T12N, R25E, S1, NE 1/4, NW 1/4",T Farm,200-ZP,Hanford (Not in Monument),,Center of boring (assumed),10/25/2006,136746.916,566852.966,,,m,NAD83(91),Z,Ground surface (assumed),10/25/2006,206.707,,m,NAVD88,Z,200-W,9-C5383-C5383A-A0001A
C5523,C5523,BORING,,DECOMMISSIONED-V,2/15/2007,"IMHOFF, S",1/4/2007,1/16/2007,10.5,ft,,,,,,,1/22/2007,,,,,,,,,,,,,,,,,,,,,,,,,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,,,,,,,,1/16/2007,1/16/2007,,,"T12N, R26E, S15, NE 1/4, NW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of boring (assumed),1/22/2007,133805,573465,,,m,NAD83(91),,,,,,,,,600,9-C5523-C5523A-A0001A
C5526,C5526,BORING,,DECOMMISSIONED-V,2/15/2007,"IMHOFF, S",1/4/2007,1/16/2007,10.5,ft,,,,,,,1/23/2007,,,,,,,,,,,,,,,,,,,,,,,,,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,,,,,,,,1/16/2007,1/16/2007,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of boring (assumed),1/23/2007,133904,573339,,,m,NAD83(91),,,,,,,,,600,9-C5526-C5526A-A0001A
C5529,C5529,BORING,,DECOMMISSIONED-V,2/15/2007,"IMHOFF, S",1/4/2007,1/23/2007,10.5,ft,,,,,,,1/23/2007,,,,,,,,,,,,,,,,,,,,,,,,,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,,,,,,,,1/23/2007,1/23/2007,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of boring (assumed),1/23/2007,133927,573614,,,m,NAD83(91),,,,,,,,,600,9-C5529-C5529A-A0001A
C5560,C5560,BORING,,DECOMMISSIONED-V,2/15/2007,"IMHOFF, S",1/4/2007,1/31/2007,10.5,ft,,,,,,,2/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,,,,,,,,1/31/2007,1/31/2007,,,"T12N, R26E, S15, NE 1/4, SE 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of boring (assumed),2/7/2007,133328,573840,,,m,NAD83(91),,,,,,,,,600,9-C5560-C5560A-A0001A
C5943,C5943,BORING,,DECOMMISSIONED-V,9/12/2008,"SYDNOR, HA",9/5/2007,11/5/2007,104,ft,2/25/2008,,,,,,2/25/2008,,,0,ft,,,,,,,,,,,,,,,,,,,,,,,"200-E-148-PL-B, 200-E-153-PL-B, 200-E-154-PL-A, UPR-200-E-86",200-IS-1,"200-E-111-PL-G, 200-E-133, 200-E-148-PL-B, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-372-PL, UPR-200-E-86",200-IS-1,"200-E-111-PL-G, 200-E-116-PL-D, 200-E-133, 200-E-148-PL-B, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-372-PL, 241-C-151, UPR-200-E-68, UPR-200-E-82, UPR-200-E-86",200-IS-1,"200-E-111-PL-D, 200-E-111-PL-G, 200-E-116-PL-B, 200-E-116-PL-C, 200-E-116-PL-D, 200-E-133, 200-E-135, 200-E-144-PL-A, 200-E-144-PL-B, 200-E-145-PL-E, 200-E-145-PL-F, 200-E-147-PL-F, 200-E-147-PL-G, 200-E-148-PL-B, 200-E-148-PL-C, 200-E-149-PL-A, 200-E-149-PL-B, 200-E-150-PL-B, 200-E-151-PL-B, 200-E-151-PL-C, 200-E-152-PL-B, 200-E-152-PL-C, 200-E-153-PL-A, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-154-PL-C, 200-E-372-PL, 241-C-104, 241-C-107, 241-C-110, 241-C-151, 241-C-152, 241-C-153, 241-CR-151, 241-CR-152, 241-CR-153, 244-CR VAULT, 600-291-PL, 600-399-PL, UPR-200-E-107, UPR-200-E-27, UPR-200-E-37, UPR-200-E-68, UPR-200-E-81, UPR-200-E-82, UPR-200-E-86",200-IS-1,,,,,,,,11/5/2007,11/5/2007,,,"T12N, R26E, S2, NE 1/4, SW 1/4",C Farm,200-BP,Hanford (Not in Monument),,Center of boring,3/13/2008,136476.615,575044.065,,,m,UNKNOWN,,Ground surface (assumed),,205.404,,m,UNKNOWN,,200-E,9-C5943-C5943A-A0001A
C5953,C5953,BORING,,DECOMMISSIONED-V,4/22/2008,"SYDNOR, HA",9/5/2007,12/4/2007,104,ft,,,WATER WELL REPORT,4/15/2008,,,12/13/2007,WATER WELL REPORT,4/15/2008,,,,,,,,,,,,,,,,,,,,,,,,,"200-E-111-PL-G, 200-E-148-PL-B, 200-E-153-PL-B, 200-E-154-PL-A, UPR-200-E-86",200-IS-1,"200-E-111-PL-G, 200-E-133, 200-E-148-PL-B, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-372-PL, UPR-200-E-86",200-IS-1,"200-E-111-PL-G, 200-E-133, 200-E-148-PL-B, 200-E-153-PL-A, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-372-PL, UPR-200-E-86",200-IS-1,"200-E-111-PL-D, 200-E-111-PL-G, 200-E-116-PL-B, 200-E-116-PL-C, 200-E-116-PL-D, 200-E-133, 200-E-135, 200-E-144-PL-A, 200-E-144-PL-B, 200-E-145-PL-E, 200-E-145-PL-F, 200-E-147-PL-F, 200-E-147-PL-G, 200-E-148-PL-B, 200-E-148-PL-C, 200-E-149-PL-A, 200-E-149-PL-B, 200-E-150-PL-A, 200-E-150-PL-B, 200-E-151-PL-B, 200-E-151-PL-C, 200-E-152-PL-B, 200-E-152-PL-C, 200-E-153-PL-A, 200-E-153-PL-B, 200-E-154-PL-A, 200-E-154-PL-C, 200-E-372-PL, 241-C-104, 241-C-107, 241-C-151, 241-C-152, 241-C-153, 241-CR-151, 241-CR-152, 241-CR-153, 244-CR VAULT, 600-291-PL, 600-399-PL, UPR-200-E-27, UPR-200-E-37, UPR-200-E-68, UPR-200-E-81, UPR-200-E-82, UPR-200-E-86",200-IS-1,,,,,,,,12/4/2007,12/4/2007,,,"T12N, R26E, S2, NE 1/4, SW 1/4",C Farm,200-BP,Hanford (Not in Monument),,Center of boring,3/13/2008,136466.821,575046.89,,,m,UNKNOWN,,Ground surface (assumed),,205.6,,m,UNKNOWN,,200-E,9-C5953-C5953A-A0001A
C4671,C4671,VADOSE WELL,,IN-USE,3/26/2007,"CEARLOCK, CS",8/3/2004,8/26/2004,60,ft,8/24/2006,,,,,,,,,60,ft,,,60,ft,,,,,,,,,"6in, 0ft - 60ft",,,,,,,,"200-E-103, 216-A-4",200-CP-1,"200-E-103, 200-E-183-PL, 200-E-184-PL, 200-E-185-PL, 200-E-186-PL, 200-E-196-PL, 200-E-270-PL, 216-A-26, 216-A-4, UPR-200-E-15",200-CP-1,"200-E-102, 200-E-103, 200-E-183-PL, 200-E-184-PL, 200-E-185-PL, 200-E-186-PL, 200-E-189, 200-E-190, 200-E-193-PL, 200-E-196-PL, 200-E-253-PL-A, 200-E-270-PL, 200-E-68, 216-A-2, 216-A-26, 216-A-26A, 216-A-4, UPR-200-E-15",200-CP-1,"200-E-102, 200-E-103, 200-E-107, 200-E-183-PL, 200-E-184-PL, 200-E-185-PL, 200-E-186-PL, 200-E-189, 200-E-190, 200-E-193-PL, 200-E-196-PL, 200-E-207-PL-A, 200-E-253-PL-A, 200-E-269-PL, 200-E-270-PL, 200-E-68, 200-E-74, 202-A, 216-A-2, 216-A-26, 216-A-26A, 216-A-31, 216-A-4, 218-E-14, UPR-200-E-15, UPR-200-E-22, UPR-200-E-96, UPR-200-E-97",200-CP-1,"200-E-102, 200-E-103, 200-E-107, 200-E-113-PL-A, 200-E-136, 200-E-183-PL, 200-E-184-PL, 200-E-185-PL, 200-E-186-PL, 200-E-189, 200-E-190, 200-E-193-PL, 200-E-196-PL, 200-E-207-PL-A, 200-E-218-PL, 200-E-224-PL, 200-E-253-PL-A, 200-E-253-PL-B, 200-E-260-PL-A, 200-E-261-PL-A, 200-E-266-PL, 200-E-269-PL, 200-E-270-PL, 200-E-271-PL, 200-E-282-PL-A, 200-E-303, 200-E-309-PL-A, 200-E-325-PL-A, 200-E-325-PL-B, 200-E-54, 200-E-68, 200-E-70, 200-E-71, 200-E-73, 200-E-74, 202-A, 216-A-11, 216-A-2, 216-A-21, 216-A-26, 216-A-26A, 216-A-31, 216-A-33, 216-A-4, 218-E-14, 218-E-15, 241-A-151, 241-A-302A, UPR-200-E-114, UPR-200-E-117, UPR-200-E-15, UPR-200-E-22, UPR-200-E-25, UPR-200-E-26, UPR-200-E-28, UPR-200-E-31, UPR-200-E-39, UPR-200-E-40, UPR-200-E-65, UPR-200-E-96, UPR-200-E-97",200-CP-1,1/25/2005,MAINTENANCE INSPECTION,,,,,,8/26/2004,1/25/2005,,,"T12N, R26E, S2, SE 1/4, SE 1/4",PUREX,200-PO,Hanford (Not in Monument),,Brass survey marker,11/9/2006,135531.5,575215.18,575215.18,135531.5,m,NAD83(91),G,Brass survey marker,11/9/2006,217.8,217.8,m,NAVD88,G,200-E,9-C4671-C4671A-A0001A
C4674,C4674,UNCLASSIFIED,,DECOMMISSIONED-V,8/8/2005,"KELTY, GG",9/28/2004,,,,,,,,,,8/8/2005,,,,,,,,,,,,,,FY 2006 Admin Decommissioned,DECOMMISSIONING,,,,,,,,,,"216-B-27, UPR-200-E-83",200-BC-1,"216-B-27, UPR-200-E-83",200-BC-1,"216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,"216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,"216-B-24, 216-B-25, 216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,,,,,,,,,,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Brass survey marker,11/11/2004,134116.054,573339.421,573339.421,134116.054,m,NAD83(91),,Brass survey marker,11/11/2004,219.53,219.53,m,NAVD88,,200-E,9-C4674-C4674A-A0001A
C5563,C5563,BORING,,DECOMMISSIONED-V,2/15/2007,"IMHOFF, S",1/4/2007,2/1/2007,10.5,ft,,,,,,,2/8/2007,,,,,,,,,,,,,,,,,,,,,,,,,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,UPR-200-E-83,200-OA-1,,,,,,,,2/1/2007,2/1/2007,,,"T12N, R26E, S15, SW 1/4, NW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of boring (assumed),2/8/2007,133028,572766,,,m,NAD83(91),,,,,,,,,600,9-C5563-C5563A-A0001A
C5574,699-45-69C,GROUNDWATER WELL,,IN-USE,4/28/2008,"WRIGHT, CS",1/8/2007,7/13/2007,455,ft,4/15/2008,,WELL CONSTRUCTION REPORT,5/16/2008,,,,,,385.4,ft,WELL CONSTRUCTION REPORT,5/16/2008,,,96.67,m,,BAN-174,BAN-174,200-ZP-1 Operable Unit,GROUNDWATER SAMPLE,"4in, 367ft - 382ft","4in, -2.55ft - 367ft / 4in, 382ft - 385.4ft",,,Waste Management Plan for the Expedited Response Action for 200 West Area Carbon Tetrachloride Plume and the 200-ZP-1 and 200/REV NUM 8,,200-PW-1 CENTRAL STORAGE AREA,200-ZP-1,,,,,,,,,,,,4/2/2025,SAMPLING INSPECTION,4/2/2025,4/29/2008,,,4/2/2025,7/13/2007,8/10/2023,4/2/2025,,"T13N, R26E, S31, SE 1/4, SE 1/4",,200-ZP,Hanford (Not in Monument),,Center of casing,5/27/2008,137233.81,568947.12,,,m,NAD83(91),,"Top of casing, north edge",5/27/2008,222.569,221.673,m,NAVD88,,600,1-0699-A0045-A0069C
C4677,C4677,UNCLASSIFIED,,DECOMMISSIONED-V,8/8/2005,"KELTY, GG",9/28/2004,,,,,,,,,,8/8/2005,,,,,,,,,,,,,,FY 2006 Admin Decommissioned,DECOMMISSIONING,,,,,,,,,,UPR-200-E-83,200-OA-1,"216-B-26, UPR-200-E-83",200-BC-1,"216-B-25, 216-B-26, UPR-200-E-83",200-BC-1,"216-B-24, 216-B-25, 216-B-26, 216-B-27, UPR-200-E-83",200-BC-1,"216-B-23, 216-B-24, 216-B-25, 216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,,,,,,,,,,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Brass survey marker,11/11/2004,134158.788,573290.536,573290.536,134158.788,m,NAD83(91),,Brass survey marker,11/11/2004,218.51,218.51,m,NAVD88,,200-E,9-C4677-C4677A-A0001A
C4683,299-W15-83,GROUNDWATER WELL,,IN-USE,10/3/2005,"WRIGHT, CS",11/11/2004,8/9/2005,278.4,ft,9/21/2005,,WELL CONSTRUCTION REPORT,3/17/2005,,,,,,273,ft,WELL CONSTRUCTION REPORT,3/17/2005,,,73.901,m,,AHE-277,AHE-277,"LLWMA(4), LLWMA(4)-PA, LLWMA-4","DOWNGRADIENT, GROUNDWATER SAMPLE","4in, 235ft - 270.02ft","4in, 0ft - 235ft / 4in, 270.02ft - 273ft",,,,,,,,,,200-W-255,200-WA-1,"200-W-255, 218-W-4B",200-WA-1,"200-W-255, 218-W-4B",200-WA-1,"200-W-255, 200-W-266, 200-W-72, 218-W-4B, 218-W-4C",200-WA-1,4/14/2025,SAMPLING INSPECTION,4/14/2025,10/5/2005,,,4/14/2025,8/9/2005,10/6/2005,4/14/2025,,"T12N, R25E, S1, SW 1/4, NW 1/4",WM,200-ZP,Hanford (Not in Monument),,Center of casing,10/12/2005,135826.24,566304.52,,,m,NAD83(91),,Top of casing,10/12/2005,209.323,208.953,m,NAVD88,,200-W,1-0299-W0015A-A0083A
C4685,299-W15-152,GROUNDWATER WELL,,IN-USE,10/3/2005,"WRIGHT, CS",11/11/2004,9/15/2005,358.3,ft,9/28/2005,,WELL CONSTRUCTION REPORT,9/27/2005,,,,,,274,ft,WELL CONSTRUCTION REPORT,9/27/2005,,,74.706,m,,AHE-280,AHE-280,"LLWMA(4), LLWMA(4)-PA, LLWMA-4","DOWNGRADIENT, GROUNDWATER SAMPLE","4in, 236.03ft - 271.03ft","4in, -1.51ft - 236.03ft / 4in, 271.03ft - 274ft",,,Waste Management Plan for the Expedited Response Action for 200 West Area Carbon Tetrachloride Plume and the 200-ZP-1 and 200/REV NUM 8,,200-PW-1 CENTRAL STORAGE AREA,200-ZP-1,,,,,,218-W-4C,200-SW-2,"200-W-255, 218-W-4C",200-WA-1,"200-W-208-PL, 200-W-208-PL:1, 200-W-208-PL:2, 200-W-208-PL:3, 200-W-255, 200-W-59, 216-Z-12, 218-W-4C, 2607-Z1, UPR-200-W-159",TBD,4/14/2025,SAMPLING INSPECTION,4/14/2025,10/5/2005,,,4/14/2025,9/15/2005,3/16/2023,4/14/2025,,"T12N, R25E, S1, SW 1/4, SW 1/4",PFP,200-ZP,Hanford (Not in Monument),,Center of casing,10/12/2005,135550,566309.4,,,m,NAD83(91),,Top of casing,10/12/2005,209.869,209.414,m,NAVD88,,200-W,1-0299-W0015A-A0152A
C4708,C4708,BORING,,DECOMMISSIONED-V,3/29/2005,"KELTY, GG",1/3/2005,3/2/2005,45.5,ft,,,,,,,3/29/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200-W-84-PL-B, 600-291-PL",200-IS-1,"200-W-170-PL, 200-W-84-PL-B, 216-U-16, 600-291-PL, UPR-200-W-19",200-IS-1,"200-W-170-PL, 200-W-192-PL-B, 200-W-192-PL-C, 200-W-193-PL-B, 200-W-194-PL, 200-W-84-PL-B, 216-U-1&2, 216-U-16, 241-U-361, 2607-W5, 600-291-PL, UPR-200-W-19",200-IS-1,,,,,3/2/2005,,3/2/2005,3/2/2005,3/2/2005,,,"T12N, R25E, S12, NE 1/4, SE 1/4",U Plant,200-UP,Hanford (Not in Monument),,Locate site,3/14/2005,134943.06,567268.38,,,m,NAD83(91),,Ground surface (assumed),3/14/2005,211.98,,m,NAVD88,,200-W,9-C4708-C4708A-A0001A
C4714,C4714,BORING,,DECOMMISSIONED-V,3/29/2005,"KELTY, GG",1/3/2005,3/8/2005,45.5,ft,,,,,,,3/29/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600-269-PL, 6241-A",Not Applicable,,,,,3/8/2005,,3/8/2005,3/8/2005,3/8/2005,,,"T12N, R26E, S7, NW 1/4, SW 1/4",U Plant,200-UP,Hanford (Not in Monument),,Locate site,3/14/2005,134673.27,567738.1,,,m,NAD83(91),,Ground surface (assumed),3/14/2005,212.8,,m,NAVD88,,200-W,9-C4714-C4714A-A0001A
C5167,C5167,BORING,,DECOMMISSIONED-V,4/10/2007,"GARDNER, M",3/27/2006,1/5/2007,55,ft,,,,,,,1/15/2007,,,,,,,,,,,,,,,,,,,,,,,,,"200-E-120, UPR-200-E-6",WMA B/BX/BY,"200-E-120, 200-E-197-PL, 241-B-153, UPR-200-E-6, UPR-200-E-76",WMA B/BX/BY,"200-E-120, 200-E-197-PL, 241-B-110, 241-B-153, UPR-200-E-6, UPR-200-E-75, UPR-200-E-76",WMA B/BX/BY,"200-E-120, 200-E-197-PL, 200-E-265-PL-A, 241-B-107, 241-B-110, 241-B-151, 241-B-152, 241-B-153, 242-B-151, UPR-200-E-127, UPR-200-E-128, UPR-200-E-38, UPR-200-E-4, UPR-200-E-6, UPR-200-E-75, UPR-200-E-76",WMA B/BX/BY,"200-E-120, 200-E-132, 200-E-176-PL-A, 200-E-176-PL-B, 200-E-197-PL, 200-E-199-PL-A, 200-E-199-PL-C, 200-E-201-PL-A, 200-E-201-PL-B, 200-E-203-PL-B, 200-E-216-PL, 200-E-217-PL-C, 200-E-264-PL-A, 200-E-265-PL-A, 200-E-265-PL-B, 200-E-265-PL-C, 200-E-326-PL-A, 200-E-326-PL-B, 200-E-332, 200-E-364-PL, 241-B-101, 241-B-102, 241-B-104, 241-B-105, 241-B-106, 241-B-107, 241-B-108, 241-B-109, 241-B-110, 241-B-111, 241-B-112, 241-B-151, 241-B-152, 241-B-153, 242-B, 242-B-151, 2607-E9, UPR-200-E-101, UPR-200-E-108, UPR-200-E-109, UPR-200-E-127, UPR-200-E-128, UPR-200-E-38, UPR-200-E-4, UPR-200-E-6, UPR-200-E-73, UPR-200-E-74, UPR-200-E-75, UPR-200-E-76, UPR-200-E-79",WMA B/BX/BY,,,,,,,,1/5/2007,1/5/2007,,241B,"T13N, R26E, S34, SE 1/4, SE 1/4",B Farm,200-BP,Hanford (Not in Monument),,Center of casing (assumed),3/11/2011,137232.833,573787.389,,,m,UNKNOWN,,Ground surface (assumed),3/11/2011,201.849,,m,UNKNOWN,,200-E,9-C5167-C5167A-A0001A
C5102,299-W14-71,GROUNDWATER WELL,,IN-USE,1/24/2007,"WRIGHT, CS",1/6/2006,7/27/2006,467.9,ft,12/22/2006,,WELL CONSTRUCTION REPORT,1/16/2007,,,,,,428.7,ft,WELL CONSTRUCTION REPORT,1/16/2007,,,,,,ALC-233,ALC-233,"200-UP-1 GW-OU Monitoring, 200-ZP-1 Operable Unit","DATA REPORT, GROUNDWATER SAMPLE","6in, 410.69ft - 425.67ft","6in, -2.11ft - 410.6ft / 6in, 425.67ft - 428.7ft",,,Waste Management Plan for the Expedited Response Action for 200 West Area Carbon Tetrachloride Plume and the 200-ZP-1 and 200/REV NUM 8,,200-PW-1 CENTRAL STORAGE AREA,200-ZP-1,,,,,,,,"600-291-PL, 600-399-PL",Not Applicable,"200-W ADB, 200-W BP, 600-291-PL, 600-399-PL",200-OA-1,2/20/2025,SAMPLING INSPECTION,2/10/2025,5/14/2007,,9/14/2006,2/10/2025,7/27/2006,8/10/2023,3/12/2025,,"T12N, R26E, S6, SW 1/4, SW 1/4",T Plant,200-UP,Hanford (Not in Monument),,Center of casing,2/22/2007,135567.81,567733.43,,,m,NAD83(91),,"Top of casing, north edge",2/22/2007,219.41,218.639,m,NAVD88,,200-W,1-0299-W0014A-A0071A
C5469,C5469,SOIL TUBE,,CANDIDATE FOR DECOMMISSIONING,6/26/2017,"ROHAY, VJ",11/14/2006,2/23/1991,4.5,ft,,,,,,,,,,,,,,,,,,,"C-1, Z18C-1",,,,,,,,Waste Management Plan for the Expedited Response Action for 200 West Area Carbon Tetrachloride Plume and the 200-ZP-1 and 200/REV NUM 8,,200-PW-1 CENTRAL STORAGE AREA,200-ZP-1,,216-Z-18,200-PW-1,"200-W-174-PL-B, 216-Z-18",TBD,"200-W-174-PL-B, 216-Z-18",TBD,"200-W-174-PL-B, 216-Z-18",TBD,"200-W-174-PL-B, 216-Z-18, 218-W-4C ANNEX",TBD,,,,,,7/10/1997,2/9/2006,2/23/1991,2/23/1991,,,"T12N, R25E, S12, NW 1/4, NE 1/4",PFP,200-ZP,Hanford (Not in Monument),,Center of casing (assumed),3/14/1991,135284.6,566437.9,,,m,NAD83,,,,,,,,,200-W,9-C5469-C5469A-A0001A
C5473,C5473,SOIL TUBE,,CANDIDATE FOR DECOMMISSIONING,6/26/2017,"ROHAY, VJ",11/14/2006,2/23/1991,4.5,ft,,,,,,,,,,,,,,,,,,,"N-6, Z18N-6",,,,,,,,,,,,,,,,,,,"200-W-174-PL-B, 216-Z-18, 216-Z-1A",TBD,"200-W-174-PL-B, 200-W-210-PL, 200-W-210-PL:1, 200-W-210-PL:2, 216-Z-1&2, 216-Z-18, 216-Z-1A",TBD,,,,,,3/24/1998,3/24/1998,2/23/1991,2/23/1991,,,"T12N, R25E, S12, NW 1/4, NE 1/4",PFP,200-ZP,Hanford (Not in Monument),,Center of casing (assumed),3/14/1991,135367.8,566513.2,,,m,NAD83,,,,,,,,,200-W,9-C5473-C5473A-A0001A
C5892,C5892,BORING,,DECOMMISSIONED-V,12/6/2007,"HUGHES, D",6/22/2007,8/7/2007,27,ft,,,,,,,8/28/2007,,,,,,,,,,,,,,,,,,,,,,,,,"216-B-26, UPR-200-E-83",200-BC-1,"216-B-26, UPR-200-E-83",200-BC-1,"216-B-25, 216-B-26, 216-B-27, UPR-200-E-83",200-BC-1,"216-B-25, 216-B-26, 216-B-27, UPR-200-E-83",200-BC-1,"216-B-23, 216-B-24, 216-B-25, 216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,,,,,,,,8/7/2007,8/7/2007,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of casing (assumed),10/13/2008,134145.4,573237.3,,,m,UNKNOWN,,,,,,,,,200-E,9-C5892-C5892A-A0001A
C5900,C5900,BORING,,DECOMMISSIONED-V,12/6/2007,"HUGHES, D",6/22/2007,9/6/2007,26.9,ft,,,,,,,9/10/2007,,,,,,,,,,,,,,,,,,,,,,,,,"216-B-26, UPR-200-E-83",200-BC-1,"216-B-26, UPR-200-E-83",200-BC-1,"216-B-25, 216-B-26, 216-B-27, UPR-200-E-83",200-BC-1,"216-B-25, 216-B-26, 216-B-27, UPR-200-E-83",200-BC-1,"216-B-23, 216-B-24, 216-B-25, 216-B-26, 216-B-27, 216-B-28, UPR-200-E-83",200-BC-1,,,,,,,,9/6/2007,9/6/2007,,,"T12N, R26E, S10, SE 1/4, SW 1/4",NRDWL/BC Control,200-PO,Hanford (Not in Monument),,Center of casing (assumed),10/13/2008,134146,573260.2,,,m,UNKNOWN,,,,,,,,,200-E,9-C5900-C5900A-A0001A
