NAME,CP_scripts,TYPE_scripts,HSU_scripts,ANALYTE_scripts,Zone_SGW-38815,HSU_Assignment_ECF-200ZP1-22-0098,Final_Assignment,Determination_Based_On
299-W11-42,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W11-43,R,MONITORING,4_rwia,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,LU,LU/CR,LU/CR,SGW-38815
299-W11-45,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W11-46,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W11-47,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W11-48,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium,LU,UU/MU,LU/CR,SGW-38815
299-W11-49,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W11-49,R,EXTRACTION,5_rlm,Chromium; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W11-50,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W11-50,R,EXTRACTION,5_rlm,Technetium-99,U,UU/MU,UU/MU,SGW-38815
299-W11-87,R,MONITORING,4_rwia,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Tritium,LU,UU/MU,LU/CR,SGW-38815
299-W11-88,R,MONITORING,0_bslt,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,LU,LU/CR,LU/CR,SGW-38815
299-W11-90,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W11-90,R,EXTRACTION,5_rlm,Chromium; Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W11-92,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W11-92,R,EXTRACTION,5_rlm,Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W11-96,C,CHARACTERIZATION,4_rwia,Hexavalent Chromium; Nitrate,U,UU/MU,UU/MU,SGW-38815
299-W11-96,R,EXTRACTION,4_rwia,Chromium; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W11-97,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,,UU/MU,SGW-38815
299-W11-98,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W11-98,R,MONITORING,0_bslt,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene,,,LU/CR,manual
299-W11-99,C,CHARACTERIZATION,5_rlm,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W11-99,PD,MONITORING,5_rlm,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W12-2,R,EXTRACTION,5_rlm,Chromium; Technetium-99; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W12-3,R,EXTRACTION,4_rwia,Technetium-99; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W12-4,R,EXTRACTION,4_rwia,Chromium; Technetium-99,U,UU/MU,UU/MU,SGW-38815
299-W12-5,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,manual
299-W12-6,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W12-6,PD,EXTRACTION,5_rlm,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W13-1,R,MONITORING,5_rlm,Carbon tetrachloride; Nitrate; Trichloroethene,MU,UU/MU,UU/MU,SGW-38815
299-W13-2P,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W13-2Q,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W13-3,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W13-3,PD,MONITORING,0_bslt,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W13-5,C,CHARACTERIZATION,4_rwia,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W13-5,PD,EXTRACTION,5_rlm,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W14-11,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W14-14,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W14-15,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W14-16,R,MONITORING,5_rlm,Chromium; Hexavalent Chromium; Technetium-99,TU,UU/MU,UU/MU,SGW-38815
299-W14-17,R,MONITORING,5_rlm,Carbon tetrachloride; Nitrate; Technetium-99,TU,UU/MU,UU/MU,SGW-38815
299-W14-18,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W14-19,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W14-20,C,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W14-20,R,EXTRACTION,5_rlm,Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W14-21,C,CHARACTERIZATION,4_rwia,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W14-21,R,EXTRACTION,4_rwia,Chromium; Technetium-99; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W14-22,R,EXTRACTION,5_rlm,Technetium-99,U,LU/CR,UU/MU,SGW-38815
299-W14-24,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W14-24,R,MONITORING,4_rwia,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene,,,LU/CR,scripts
299-W14-25,C,CHARACTERIZATION,6_rwie,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W14-25,PD,MONITORING,6_rwie,Carbon tetrachloride; Nitrate,,,UU/MU,scripts
299-W14-27,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,,decommissioned
299-W14-28,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,manual
299-W14-28,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,UU/MU,manual
299-W14-29,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W14-29,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W14-30,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W14-30,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W14-31,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W14-31,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W14-32,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W14-32,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W14-33,C,CHARACTERIZATION,5_rlm,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,,decommissioned
299-W14-71,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene,LU,UU/MU,LU/CR,SGW-38815
299-W14-72,R,MONITORING,5_rlm,Carbon tetrachloride; Nitrate; Trichloroethene,LU,UU/MU,LU/CR,SGW-38815
299-W14-73,CNF,CHARACTERIZATION,5_rlm,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W14-73,R,EXTRACTION,5_rlm,Chromium; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W14-74,C,CHARACTERIZATION,4_rwia,Hexavalent Chromium; Nitrate,U,UU/MU,UU/MU,SGW-38815
299-W14-74,R,EXTRACTION,4_rwia,Chromium; Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W14-75,C,CHARACTERIZATION,5_rlm,Chromium; Hexavalent Chromium; Iodine-129; Technetium-99; Trichloroethene; Tritium; Uranium,,,LU/CR,manual
299-W14-75,PD,EXTRACTION,4_rwia,Carbon tetrachloride; Nitrate,,,LU/CR,manual
299-W15-11,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Technetium-99; Trichloroethene,U,UU/MU,UU/MU,SGW-38815
299-W15-15,R,MONITORING,6_rwie,Iodine-129; Technetium-99; Tritium; Uranium,,,UU/MU,scripts
299-W15-152,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W15-17,R,MONITORING,6_rwie,Carbon tetrachloride; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,Site-CR,UU/MU,LU/CR,manual
299-W15-224,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W15-225,C,CHARACTERIZATION,6_rwie,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W15-225,R,EXTRACTION,6_rwie,Chromium; Nitrate; Tritium,U,UU/MU,UU/MU,SGW-38815
299-W15-231,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W15-232,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W15-232,PD,MONITORING,6_rwie,Hexavalent Chromium; Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W15-232,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W15-30,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W15-33,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W15-37,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W15-40,R,MONITORING,6_rwie,Chromium; Nitrate; Technetium-99; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W15-44,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W15-46,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Technetium-99,UU,UU/MU,UU/MU,SGW-38815
299-W15-49,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate,UU,UU/MU,UU/MU,SGW-38815
299-W15-50,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Trichloroethene,MU,UU/MU,UU/MU,SGW-38815
299-W15-7,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Trichloroethene,TU,UU/MU,UU/MU,SGW-38815
299-W15-763,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W15-765,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W15-83,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W15-94,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W17-1,R,MONITORING,,Iodine-129; Technetium-99; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W17-2,C,CHARACTERIZATION,6_rwie,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W17-2,CNF,CHARACTERIZATION,6_rwie,Nitrate,U,UU/MU,UU/MU,SGW-38815
299-W17-2,R,EXTRACTION,6_rwie,Chromium; Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W17-3,C,CHARACTERIZATION,6_rwie,Hexavalent Chromium,U,UU/MU,UU/MU,SGW-38815
299-W17-3,R,EXTRACTION,6_rwie,Chromium; Nitrate; Technetium-99; Tritium; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W18-1,R,MONITORING,6_rwie,Carbon tetrachloride; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,UU/MU,UU/MU,ECF-200ZP1-22-0098
299-W18-15,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W18-16,R,MONITORING,6_rwie,Carbon tetrachloride; Nitrate; Technetium-99; Trichloroethene,TU,UU/MU,UU/MU,SGW-38815
299-W18-21,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W18-22,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,LU,UU/MU,LU/CR,SGW-38815
299-W18-260,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W18-261,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W18-263,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W18-40,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W18-45,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W18-45,CNF,CHARACTERIZATION,6_rwie,Nitrate,,,UU/MU,scripts
299-W18-45,PD,MONITORING,6_rwie,Hexavalent Chromium; Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W18-45,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W18-46,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Chromium; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W18-46,PD,MONITORING,6_rwie,Hexavalent Chromium; Technetium-99; Tritium,,,UU/MU,scripts
299-W18-46,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W18-47,C,CHARACTERIZATION,6_rwie,Carbon tetrachloride; Hexavalent Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,,,UU/MU,scripts
299-W18-47,PD,MONITORING,6_rwie,Hexavalent Chromium; Iodine-129; Technetium-99; Tritium,,,UU/MU,scripts
299-W18-47,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Nitrate; Trichloroethene; Uranium,,,UU/MU,scripts
299-W19-101,R,MONITORING,6_rwie,Chromium; Iodine-129; Nitrate; Technetium-99; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W19-105,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W19-107,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Uranium,UU,UU/MU,UU/MU,SGW-38815
299-W19-113,R,EXTRACTION,6_rwie,Chromium; Iodine-129; Nitrate; Technetium-99; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W19-113,R,EXTRACTION,6_rwie,Chromium; Iodine-129; Nitrate; Technetium-99; Uranium,U,UU/MU,UU/MU,SGW-38815
299-W19-114,C,CHARACTERIZATION,6_rwie,Hexavalent Chromium; Nitrate,U,UU/MU,UU/MU,SGW-38815
299-W19-114,C,CHARACTERIZATION,6_rwie,Hexavalent Chromium; Nitrate,U,UU/MU,UU/MU,SGW-38815
299-W19-114,R,EXTRACTION,6_rwie,Uranium,U,UU/MU,UU/MU,SGW-38815
299-W19-114,R,EXTRACTION,6_rwie,Uranium,U,UU/MU,UU/MU,SGW-38815
299-W19-115,R,MONITORING,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W19-116,R,MONITORING,5_rlm,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Tritium; Uranium,TU,UU/MU,UU/MU,SGW-38815
299-W19-123,R,EXTRACTION,6_rwie,Carbon tetrachloride; Chromium; Iodine-129; Nitrate; Technetium-99; Trichloroethene; Uranium,Multiple,UU/MU,UU/MU,manual
